product_handle,name,email,rating,customer_image,review_title,review_body,reply,date(yyyy-mm-dd),review_image1,review_image2,review_image3,review_image4,review_image5
2015-geometric-snowflake-forever-first-class-postage-stamps,"Marilyn DiCenzi",Marilyn.DiCenzi@example.com,5,,"Love this style since I’m an avid letter writer and more t","Love this style since I’m an avid letter writer and more than any other time, our world needs love.",,2022-11-02,,,,,
product_handle,name,email,rating,customer_image,review_title,review_body,reply,date(yyyy-mm-dd),review_image1,review_image2,review_image3,review_image4,review_image5
2015-geometric-snowflake-forever-first-class-postage-stamps,"A.L. KD",A.L..KD@example.com,5,,"Could not be more perfect","Could not be more perfect",,2022-11-02,,,,,
product_handle,name,email,rating,customer_image,review_title,review_body,reply,date(yyyy-mm-dd),review_image1,review_image2,review_image3,review_image4,review_image5
2015-geometric-snowflake-forever-first-class-postage-stamps,"Mary Claeson",Mary.Claeson@example.com,5,,"I got these stamps to use for baby shower thank you card’s","I got these stamps to use for baby shower thank you card’s they are super cute but again they are stamps so nothing special.",,2022-11-02,,,,,
product_handle,name,email,rating,customer_image,review_title,review_body,reply,date(yyyy-mm-dd),review_image1,review_image2,review_image3,review_image4,review_image5
2015-geometric-snowflake-forever-first-class-postage-stamps,Donne,Donne@example.com,5,,"I still write thank you notes by hand and send them snail ma","I still write thank you notes by hand and send them snail mail directly to people’s houses. Imagine that! It is nice to occasionally write someone a letter the old fashioned way. These stamps aid in this activity and do it well!",,2022-11-02,,,,,
product_handle,name,email,rating,customer_image,review_title,review_body,reply,date(yyyy-mm-dd),review_image1,review_image2,review_image3,review_image4,review_image5
2015-geometric-snowflake-forever-first-class-postage-stamps,prophesybuff,prophesybuff@example.com,5,,"Product arrived on-time, not damaged. Needed these stamps du","Product arrived on-time, not damaged. Needed these stamps during a certain period. I am a satisfied customer who love this product.",,2022-11-02,,,,,
product_handle,name,email,rating,customer_image,review_title,review_body,reply,date(yyyy-mm-dd),review_image1,review_image2,review_image3,review_image4,review_image5
2015-geometric-snowflake-forever-first-class-postage-stamps,"J K Lehr",J.K.Lehr@example.com,5,,"Used for everyday postage for mailing of letters","Used for everyday postage for mailing of letters",,2022-11-02,,,,,
product_handle,name,email,rating,customer_image,review_title,review_body,reply,date(yyyy-mm-dd),review_image1,review_image2,review_image3,review_image4,review_image5
2023-red-fox-first-class-postage-stamps-1,"Donna Newton",Donna.Newton@example.com,5,,"Like the Variety in the stamps we're very happy that website","Like the Variety in the stamps we're very happy that website sell stamps",,2022-11-02,,,,,
product_handle,name,email,rating,customer_image,review_title,review_body,reply,date(yyyy-mm-dd),review_image1,review_image2,review_image3,review_image4,review_image5
2023-red-fox-first-class-postage-stamps-1,"K. Mccargo",K..Mccargo@example.com,5,,"Pretty stamps, great for Fall. Arrived very quickly in prote","Pretty stamps, great for Fall. Arrived very quickly in protective packaging.",,2022-11-02,,,,,
product_handle,name,email,rating,customer_image,review_title,review_body,reply,date(yyyy-mm-dd),review_image1,review_image2,review_image3,review_image4,review_image5
2023-red-fox-first-class-postage-stamps-1,Donna,Donna@example.com,5,,"I know where I'm getting my stamps from now on lol. Nice pro","I know where I'm getting my stamps from now on lol. Nice product. They come on a sheet of paper. Fine by me.",,2022-11-02,,,,,
product_handle,name,email,rating,customer_image,review_title,review_body,reply,date(yyyy-mm-dd),review_image1,review_image2,review_image3,review_image4,review_image5
2023-red-fox-first-class-postage-stamps-1,"J. Marie",J..Marie@example.com,5,,"It was nice not to have to stand in line at the Post Office ","It was nice not to have to stand in line at the Post Office just to buy stamps. The size of the stamps is small so they fit easily on any envelope or postcard.",,2022-11-02,,,,,
product_handle,name,email,rating,customer_image,review_title,review_body,reply,date(yyyy-mm-dd),review_image1,review_image2,review_image3,review_image4,review_image5
2023-red-fox-first-class-postage-stamps-1,"Paul McDowell Barbara Knighton",Paul.McDowell.Barbara.Knighton@example.com,5,,"I'm happy with the stamps they're such nice scenes.","I'm happy with the stamps they're such nice scenes.",,2022-11-02,,,,,
product_handle,name,email,rating,customer_image,review_title,review_body,reply,date(yyyy-mm-dd),review_image1,review_image2,review_image3,review_image4,review_image5
2023-red-fox-first-class-postage-stamps-1,"Larry M Muehl",Larry.M.Muehl@example.com,5,,"What can you really say about stamps. They do their job and ","What can you really say about stamps. They do their job and look pretty while doing it. What you see pictured is what you get.",,2022-11-02,,,,,
product_handle,name,email,rating,customer_image,review_title,review_body,reply,date(yyyy-mm-dd),review_image1,review_image2,review_image3,review_image4,review_image5
2023-red-fox-first-class-postage-stamps-1,"RICHARD BROWN",RICHARD.BROWN@example.com,5,,"Writing letters to neighbors","Writing letters to neighbors",,2022-11-02,,,,,
product_handle,name,email,rating,customer_image,review_title,review_body,reply,date(yyyy-mm-dd),review_image1,review_image2,review_image3,review_image4,review_image5
2018-frozen-treats-forever-first-class-postage-stamps,"Kim D",Kim.D@example.com,5,,"The stamps are a great price and the service was super fast!","The stamps are a great price and the service was super fast!",,2022-11-02,,,,,
product_handle,name,email,rating,customer_image,review_title,review_body,reply,date(yyyy-mm-dd),review_image1,review_image2,review_image3,review_image4,review_image5
2018-frozen-treats-forever-first-class-postage-stamps,Hippie,Hippie@example.com,5,,"I like the pictures","I like the pictures",,2022-11-02,,,,,
product_handle,name,email,rating,customer_image,review_title,review_body,reply,date(yyyy-mm-dd),review_image1,review_image2,review_image3,review_image4,review_image5
2018-frozen-treats-forever-first-class-postage-stamps,"Kim Husted",Kim.Husted@example.com,5,,"The ease of on online purchase, a resonable price. A worthwh","The ease of on online purchase, a resonable price. A worthwhile purchase",,2022-11-02,,,,,
product_handle,name,email,rating,customer_image,review_title,review_body,reply,date(yyyy-mm-dd),review_image1,review_image2,review_image3,review_image4,review_image5
2018-frozen-treats-forever-first-class-postage-stamps,MAD,MAD@example.com,5,,"very beautiful","very beautiful",,2022-11-02,,,,,
product_handle,name,email,rating,customer_image,review_title,review_body,reply,date(yyyy-mm-dd),review_image1,review_image2,review_image3,review_image4,review_image5
2018-frozen-treats-forever-first-class-postage-stamps,"Dianne L.",Dianne.L.@example.com,5,,"They are pretty I bought before will again if available.","They are pretty I bought before will again if available.",,2022-11-02,,,,,
product_handle,name,email,rating,customer_image,review_title,review_body,reply,date(yyyy-mm-dd),review_image1,review_image2,review_image3,review_image4,review_image5
2018-frozen-treats-forever-first-class-postage-stamps,alv,alv@example.com,5,,"When you need stamps quickly this works well","When you need stamps quickly this works well",,2022-11-02,,,,,
product_handle,name,email,rating,customer_image,review_title,review_body,reply,date(yyyy-mm-dd),review_image1,review_image2,review_image3,review_image4,review_image5
2018-frozen-treats-forever-first-class-postage-stamps,Flea,Flea@example.com,5,,"Delivery was promised efficient. STAMPS NICE","Delivery was promised efficient. STAMPS NICE",,2022-11-02,,,,,
product_handle,name,email,rating,customer_image,review_title,review_body,reply,date(yyyy-mm-dd),review_image1,review_image2,review_image3,review_image4,review_image5
2019-winter-berries-forever-first-class-postage-stamps,"Brenda Hayes Jenny",Brenda.Hayes.Jenny@example.com,5,,"Worked great","Worked great",,2022-11-02,,,,,
product_handle,name,email,rating,customer_image,review_title,review_body,reply,date(yyyy-mm-dd),review_image1,review_image2,review_image3,review_image4,review_image5
2017-flowers-from-the-garden-forever-first-class-postage-stamps,Carmen,Carmen@example.com,5,,"They worked fine","They worked fine",,2022-11-02,,,,,
product_handle,name,email,rating,customer_image,review_title,review_body,reply,date(yyyy-mm-dd),review_image1,review_image2,review_image3,review_image4,review_image5
2017-flowers-from-the-garden-forever-first-class-postage-stamps,"Julie Reno George",Julie.Reno.George@example.com,5,,"I would definitely buy again","I would definitely buy again",,2022-11-02,,,,,
product_handle,name,email,rating,customer_image,review_title,review_body,reply,date(yyyy-mm-dd),review_image1,review_image2,review_image3,review_image4,review_image5
2017-flowers-from-the-garden-forever-first-class-postage-stamps,Thrifty,Thrifty@example.com,5,,"Stamps needed when we were on vacation","Stamps needed when we were on vacation",,2022-11-02,,,,,
product_handle,name,email,rating,customer_image,review_title,review_body,reply,date(yyyy-mm-dd),review_image1,review_image2,review_image3,review_image4,review_image5
2017-flowers-from-the-garden-forever-first-class-postage-stamps,Charlotte,Charlotte@example.com,5,,"Very interesting mix of various holiday stamps","Very interesting mix of various holiday stamps",,2022-11-02,,,,,
product_handle,name,email,rating,customer_image,review_title,review_body,reply,date(yyyy-mm-dd),review_image1,review_image2,review_image3,review_image4,review_image5
2017-flowers-from-the-garden-forever-first-class-postage-stamps,"Donna Trice",Donna.Trice@example.com,5,,"So conveniently delivered to my mailbox avoiding having to c","So conveniently delivered to my mailbox avoiding having to come into contact with people during these sad dangerous covit-19 times",,2022-11-02,,,,,
product_handle,name,email,rating,customer_image,review_title,review_body,reply,date(yyyy-mm-dd),review_image1,review_image2,review_image3,review_image4,review_image5
2017-flowers-from-the-garden-forever-first-class-postage-stamps,"Virginia Phillips-smith",Virginia.Phillips-smith@example.com,5,,"No variation in design, but it was the cheapest bundle of st","No variation in design, but it was the cheapest bundle of stamps I could find. They’ll still mail, but the advertisement could be more accurately worded.",,2022-11-02,,,,,
product_handle,name,email,rating,customer_image,review_title,review_body,reply,date(yyyy-mm-dd),review_image1,review_image2,review_image3,review_image4,review_image5
2017-flowers-from-the-garden-forever-first-class-postage-stamps,"Barbara Moriarta",Barbara.Moriarta@example.com,5,,"very easy to buy for a low vision person.","very easy to buy for a low vision person.",,2022-11-02,,,,,
