定位成功,"Location successful"
经纬度参数不能为空,经纬度参数不能为空
经纬度格式不正确,经纬度格式不正确
经纬度范围不正确,经纬度范围不正确
获取地址成功,获取地址成功
没有可用的定位服务提供者,"No available location service providers"
"所有定位服务提供者都失败，最后错误: %{1}","All location service providers failed, last error: %{1}"
未知错误,"Unknown error"
"geojs.io请求失败: %{1}","geojs.io request failed: %{1}"
"geojs.io返回错误状态码: %{1}","geojs.io returned error status code: %{1}"
"geojs.io返回数据解析失败: %{1}","geojs.io response data parsing failed: %{1}"
geojs.io返回空数据,"geojs.io returned empty data"
"ip-api.com请求失败: %{1}","ip-api.com request failed: %{1}"
"ip-api.com返回错误状态码: %{1}","ip-api.com returned error status code: %{1}"
"ip-api.com返回数据解析失败: %{1}","ip-api.com response data parsing failed: %{1}"
定位失败,"Location failed"
"ip-api.com定位失败: %{1}","ip-api.com location failed: %{1}"
"ipapi.co请求失败: %{1}","ipapi.co request failed: %{1}"
"ipapi.co返回错误状态码: %{1}","ipapi.co returned error status code: %{1}"
"ipapi.co返回数据解析失败: %{1}","ipapi.co response data parsing failed: %{1}"
"ipapi.co定位失败: %{1}","ipapi.co location failed: %{1}"
"ipinfo.io请求失败: %{1}","ipinfo.io request failed: %{1}"
"ipinfo.io返回错误状态码: %{1}","ipinfo.io returned error status code: %{1}"
"ipinfo.io返回数据解析失败: %{1}","ipinfo.io response data parsing failed: %{1}"
"ipinfo.io定位失败: %{1}","ipinfo.io location failed: %{1}"
"ipwhois.app请求失败: %{1}","ipwhois.app request failed: %{1}"
"ipwhois.app返回错误状态码: %{1}","ipwhois.app returned error status code: %{1}"
"ipwhois.app返回数据解析失败: %{1}","ipwhois.app response data parsing failed: %{1}"
"ipwhois.app定位失败: %{1}","ipwhois.app location failed: %{1}"
本地定位服务暂未实现，将使用备用通道,"Local location service not implemented, will use fallback channels"
定位中...,定位中...
中国大陆,中国大陆
配送至,配送至
选择配送地址,选择配送地址
自动定位,自动定位
手动选择,手动选择
关闭,关闭
Geo模块未加载,Geo模块未加载
获取地址信息失败,获取地址信息失败
定位失败，请稍后重试,定位失败，请稍后重试
请输入配送地址（格式：省/市/区）,请输入配送地址（格式：省/市/区）
中国,中国
"浏览器不支持Geolocation API","Browser does not support Geolocation API"
用户拒绝了定位权限,"User denied geolocation permission"
位置信息不可用,"Position information unavailable"
定位请求超时,"Location request timeout"
IP定位服务响应错误,"IP location service response error"
IP定位失败,"IP location failed"
"IP定位服务不可用: %{1}","IP location service unavailable: %{1}"
